before_stopword,after_stopword
"['cek', 'simbojoy', 'smartwatch', 'zld', 'layar', 'terang', 'anti', 'air', 'ip', 'olahraga', 'pemantauan', 'tidur', 'dan', 'detak', 'jantung', 'jam', 'tangan', 'pria', 'wanita', 'dengan', 'harga', 'rp', 'dapatkan', 'di', 'shopee', 'sekarang', 'manchester', 'united']",cek simbojoy smartwatch zld layar terang anti air ip olahraga pemantauan tidur detak jantung jam tangan pria wanita harga rp dapatkan di shopee manchester united
"['gas', 'mantap']",gas mantap
"['premier', 'league', 'nya', 'siapa', 'gue', 'tanya', 'ha', 'premier', 'league', 'nya', 'siapa']",premier league nya gue ha premier league nya
"['laskar', 'enggak', 'emyu', 'enggak', 'makan', 'besok', 'prasmanan', 'nih']",laskar emyu makan besok prasmanan nih
"['tau', 'sendiri', 'klubnya', 'lagi', 'bapuk', 'di', 'liga', 'amp']",tau klubnya bapuk di liga amp
['emyu'],emyu
"['first', 'touch', 'sudah', 'oke', 'dribbling', 'okelah', 'tinggal', 'tekniknya', 'doang', 'ini', 'dik', 'garna']",first touch oke dribbling okelah tinggal tekniknya doang dik garna
"['parah', 'banget', 'mana', 'di', 'old', 'trafford', 'pun']",parah banget di old trafford
"['tapi', 'lebih', 'sering', 'dnya', 'dongo']",dnya dongo
"['buat', 'milwall', 'bristol', 'city', 'dan', 'norwich', 'siapsiap', 'klean', 'menghadapi', 'emyu', 'di', 'championship', 'musim', 'depan', 'superlive', 'supersoccer', 'inirasanyasuper', 'manchesterunited']",milwall bristol city norwich siapsiap klean menghadapi emyu di championship musim superlive supersoccer inirasanyasuper manchesterunited
"['lo', 'fan', 'emyu', 'ya', 'mending', 'mengurusi', 'saja', 'klub', 'kesayangan', 'lo', 'supaya', 'terhindar', 'dari', 'zona', 'degradasi']",lo fan emyu ya mending mengurusi klub kesayangan lo terhindar zona degradasi
['jembut'],jembut
"['katanya', 'kok', 'jadi']",
"['mau', 'itu', 'bahas', 'sejarah', 'mau', 'itu', 'bahas', 'masa', 'kini', 'faktanya', 'mu', 'memang', 'gelar']",bahas sejarah bahas faktanya mu gelar
"['selesai', 'tuh', 'emyu', 'menunggu', 'opini', 'lawyernya', 'hag']",selesai tuh emyu menunggu opini lawyernya hag
"['memang', 'ada', 'yang', 'lebih', 'sangar', 'dari', 'ini', 'boleh']",sangar
"['ternyata', 'pertandingan', 'emyu', 'lawan', 'coventry', 'enggak', 'seburuk', 'itu', 'wkwk']",pertandingan emyu lawan coventry seburuk wkwk
"['kalo', 'main', 'lu', 'begitu', 'mululama', 'mu', 'enggak', 'punya', 'masa', 'depan']",kalo main lu mululama mu
"['emyu', 'mah', 'lawan', 'pas', 'tni', 'saja', 'kalah', 'boah', 'sartika']",emyu mah lawan pas tni kalah boah sartika
"['hbd', 'mus']",hbd mus
"['bardi', 'smart', 'indoor', 'ptz', 'ip', 'camera', 'cctv', 'wifi', 'iot', 'home', 'automation', 'manchester', 'united', 'emyu', 'mu', 'onana', 'senin', 'tidur', 'mandalika', 'korbanmulyono', 'epl', 'alarm']",bardi smart indoor ptz ip camera cctv wifi iot home automation manchester united emyu mu onana senin tidur mandalika korbanmulyono epl alarm
"['itu', 'bilangnya', 'berarti', 'beda', 'sama', 'ipul']",bilangnya beda ipul
"['jadi', 'fan', 'emyu', 'kak', 'soalnya', 'saya', 'begitu', 'kaya', 'merasa', 'lebih', 'tertantang', 'buat', 'hidup', 'lebih', 'lama']",fan emyu kak kaya tertantang hidup
"['late', 'post', 'terima', 'kasih', 'mngnya', 'aku', 'emyu', 'ya', 'bukan', 'barca', 'wkwkwk', 'terima', 'kasih', 'juga', 'freebies', 'nya']",late post terima kasih mngnya emyu ya barca wkwkwk terima kasih freebies nya
"['antenganteng', 'saja', 'om']",antenganteng om
"['dulu', 'bisa', 'bantai', 'leicster', 'sekarang', 'kuasain', 'bola', 'saja', 'susah', 'amat', 'ampas', 'banget', 'strategi', 'amorin']",bantai leicster kuasain bola susah ampas banget strategi amorin
"['fulltime', 'epl', 'fulham', 'manchester', 'united', 'gol', 'semata', 'wayang', 'martinez', 'selamatkan', 'emyu']",fulltime epl fulham manchester united gol wayang martinez selamatkan emyu
"['mirip', 'cr', 'pas', 'di', 'emyu', 'anjir']",cr pas di emyu anjir
"['manchester', 'united', 'bertahan', 'dari', 'tekanan', 'fulham', 'menang', 'tipis', 'breakingnews', 'emyu', 'manchesterunited', 'mufc', 'fulhamvsunited', 'fulhamfc']",manchester united bertahan tekanan fulham menang tipis breakingnews emyu manchesterunited mufc fulhamvsunited fulhamfc
"['daftar', 'para', 'pemain', 'legend', 'yang', 'akan', 'ikut', 'serta', 'dalam', 'laga', 'manchester', 'united', 'legends', 'vs', 'celtic', 'legends', 'manchesterunited', 'kingemyu']",daftar pemain legend laga manchester united legends vs celtic legends manchesterunited kingemyu
"['jersey', 'emyu']",jersey emyu
"['prediksi', 'line', 'up', 'melawan', 'liverpool', 'manchesterunited', 'kingemyu']",prediksi line up melawan liverpool manchesterunited kingemyu
"['kayanya', 'cocok', 'main', 'di', 'hari', 'jumat', 'deh', 'jangan', 'senin', 'terima', 'kasih']",kayanya cocok main di jumat deh senin terima kasih
"['semangat', 'pertahankan', 'ten', 'hag']",semangat pertahankan ten hag
"['abang', 'baru', 'banyak', 'ternyata', 'typing', 'di', 'atas', 'banyak', 'typonya', 'maaf', 'kemarin', 'sambil', 'ngantuk', 'diving', 'abang', 'sudah', 'sedalam', 'samudera', 'pasifik', 'nih', 'adek', 'mau', 'bantuin', 'ta', 'keren', 'banget', 'kita', 'memang', 'harus', 'bahagia', 'tiap', 'hari', 'kalo', 'abang', 'singkat', 'saja', 'karena', 'manchester', 'united']",abang typing di typonya maaf kemarin ngantuk diving abang sedalam samudera pasifik nih adek bantuin ta keren banget bahagia kalo abang singkat manchester united
"['galakramah', 'wkwkwkwkwk']",galakramah wkwkwkwkwk
['bosok'],bosok
"['emyu', 'lawan', 'tim', 'liga', 'yunani', 'saja', 'kewalahan', 'enggak', 'bisa', 'menyerang', 'apa', 'lagi', 'lawan', 'tim', 'liga', 'indonesia', 'bisa', 'bisa', 'kena', 'bantai', 'emyu', 'manchesterunited']",emyu lawan tim liga yunani kewalahan menyerang lawan tim liga indonesia kena bantai emyu manchesterunited
"['terlalu', 'bersemangat', 'jokowibaktiuntuknegeri', 'muntot', 'ten', 'hag', 'indonesiangp', 'salmaronyatsparklingtourism', 'emyu', 'atleti', 'vini', 'dalot', 'mandalika', 'besok', 'senin', 'preman', 'manchester', 'united', 'palmer', 'polisi', 'spurs', 'syaikhu', 'ilham', 'minggu', 'korek', 'indoxl', 'indoxl']",bersemangat jokowibaktiuntuknegeri muntot ten hag indonesiangp salmaronyatsparklingtourism emyu atleti vini dalot mandalika besok senin preman manchester united palmer polisi spurs syaikhu ilham minggu korek indoxl indoxl
"['idih', 'eh', 'dih', 'cry', 'cry']",idih eh dih cry cry
['lawakk'],lawakk
"['garnacho', 'anjir', 'emyu', 'jadi', 'spesialis', 'gol', 'cepat']",garnacho anjir emyu spesialis gol cepat
"['mending', 'dukung', 'timnas', 'daripada', 'emyu', 'kata', 'sty']",mending dukung timnas emyu sty
"['wkw', 'stres']",wkw stres
"['rashford', 'ngegolin', 'manchester', 'united', 'unggul', 'hmm', 'menonton', 'emyu', 'kan', 'mau', 'cari', 'hiburan']",rashford ngegolin manchester united unggul hmm menonton emyu cari hiburan
"['manchester', 'united', 'era', 'lockdown', 'jika', 'saja', 'final', 'europa', 'league', 'bisa', 'menang', 'adu', 'pinalti', 'manchesterunited', 'kingemyu']",manchester united era lockdown final europa league menang adu pinalti manchesterunited kingemyu
"['embuh', 'karepmu']",embuh karepmu
"['sesuai', 'hastag', 'muntot', 'mu', 'lawak', 'alias', 'lawan', 'tim', 'bango', 'saja', 'kalah', 'cok', 'cok']",sesuai hastag muntot mu lawak alias lawan tim bango kalah cok cok
"['resmi', 'sekou', 'kone', 'resmi', 'berseragam', 'manchester', 'united', 'manchesterunited', 'sekoukone', 'kingemyu']",resmi sekou kone resmi berseragam manchester united manchesterunited sekoukone kingemyu
"['casemiro', 'akan', 'mempertahankan', 'posisinya', 'di', 'manchester', 'united', 'dan', 'akan', 'menolak', 'semua', 'tawaran', 'yang', 'masuk', 'manchesterunited', 'casemiro', 'kingemyu']",casemiro mempertahankan posisinya di manchester united menolak tawaran masuk manchesterunited casemiro kingemyu
['blok'],blok
"['dimas', 'drajad']",dimas drajad
"['marcus', 'rashford', 'terlihat', 'di', 'pertandingan', 'emyu', 'lu', 'melawan', 'liverpool', 'lu', 'manchesterunited', 'rashford', 'kingemyu']",marcus rashford di pertandingan emyu lu melawan liverpool lu manchesterunited rashford kingemyu
"['emyu', 'maksudnya']",emyu maksudnya
['emyu'],emyu
"['ayo', 'semangat', 'semangat', 'dong']",ayo semangat semangat
"['wkwkwkwk', 'jersey', 'emyu']",wkwkwkwk jersey emyu
"['fdj', 'kalo', 'ke', 'emyu', 'ketika', 'saya', 'menandatangani', 'kontrak', 'dengan', 'manchester', 'united', 'saya', 'tidak', 'membayangkan', 'klub', 'ini', 'akan', 'degradasi']",fdj kalo ke emyu menandatangani kontrak manchester united membayangkan klub degradasi
"['makanya', 'kalo', 'emyu', 'main', 'jam', 'malem', 'auto', 'skip', 'wkwk']",kalo emyu main jam malem auto skip wkwk
"['lah', 'kenapa', 'jangan', 'ke', 'emyu']",ke emyu
"['dari', 'kecil', 'sudah', 'diajari', 'sabar', 'karena', 'jadi', 'fan', 'emyu']",diajari sabar fan emyu
"['gelandang', 'dengan', 'atribut', 'paling', 'lengkap', 'long', 'pass', 'bisa', 'carry', 'the', 'ball', 'bisa', 'shooting', 'gaperlu', 'diragukan', 'benerbener', 'pengatur', 'tempo', 'pada', 'saat', 'itu', 'sayang', 'banget', 'emyu', 'sekarang', 'enggak', 'punya', 'gelandang', 'kayak', 'begini', 'lagi']",gelandang atribut lengkap long pass carry the ball shooting gaperlu diragukan benerbener pengatur tempo sayang banget emyu gelandang kayak
"['emyu', 'saja', 'menang', 'lawan', 'juru', 'kunci', 'epl']",emyu menang lawan juru kunci epl
"['live', 'update', 'manchester', 'united', 'vs', 'brentford', 'garnacho', 'amp']",live update manchester united vs brentford garnacho amp
"['ke', 'mu', 'deh', 'coba']",ke mu deh coba
"['segala', 'mengatai', 'fan', 'emyu', 'miskin', 'beli', 'jersey', 'kawe', 'minimal', 'bisa', 'kencing', 'dulu', 'lah', 'di', 'anpield']",mengatai fan emyu miskin beli jersey kawe minimal kencing di anpield
"['itu', 'fan', 'arsenal', 'yang', 'ngetawain', 'emyu', 'menang', 'haram', 'enggak', 'sadar', 'apa', 'di', 'ronde', 'sebelumnya', 'dikasi', 'voucher', 'cuma', 'tapi', 'tetap', 'saja', 'kalah']",fan arsenal ngetawain emyu menang haram sadar di ronde dikasi voucher kalah
"['masih', 'sering', 'blunder']",blunder
"['manchester', 'united', 'resmi', 'mengumumkan', 'kedatangan', 'winger', 'timnas', 'norwegia', 'celin', 'bizet', 'dari', 'tottenham', 'hotspur', 'durasi', 'kontraknya', 'berlaku', 'hingga', 'pengumumumannya', 'begini', 'amat', 'tim', 'sosmednya', 'emyu', 'women', 'lol', 'barclayswsl']",manchester united resmi mengumumkan kedatangan winger timnas norwegia celin bizet tottenham hotspur durasi kontraknya berlaku pengumumumannya tim sosmednya emyu women lol barclayswsl
"['sesuai', 'prediksi', 'wkwk']",sesuai prediksi wkwk
"['keren', 'bentar', 'lagi', 'tsunami']",keren bentar tsunami
"['fokus', 'dukung', 'saja', 'bang']",fokus dukung bang
"['antenganteng', 'saja', 'om']",antenganteng om
"['pertahankan', 'ten', 'hag', 'sampai', 'beliau', 'gondrong']",pertahankan ten hag beliau gondrong
"['difahamkan', 'klub', 'kesayanagn', 'kita', 'semua', 'dini', 'hari', 'nanti', 'akan', 'berlaga', 'fenerbah', 'e', 'vs', 'manchester', 'united', 'jumat', 'oktober', 'wib', 'ulker', 'fenerbahce', 'sukru', 'saracoglu', 'stadium', 'prediksi', 'klean', 'manchesterunited', 'mufc', 'manutd', 'united', 'emyu']",difahamkan klub kesayanagn berlaga fenerbah e vs manchester united jumat oktober wib ulker fenerbahce sukru saracoglu stadium prediksi klean manchesterunited mufc manutd united emyu
['bapuk'],bapuk
"['enggak', 'usaah', 'menyakiti', 'hati', 'moengilku', 'emyu', 'tetap', 'dihati']",usaah menyakiti hati moengilku emyu dihati
"['awakmu', 'niat', 'enggak', 'sih', 'bal', 'balan']",awakmu niat sih bal balan
"['mungkin', 'harus', 'nunggu', 'belasan', 'bahkan', 'puluhan', 'tahun', 'lagi', 'buat', 'lihat', 'manchester', 'united', 'berjaya', 'buat', 'lihat', 'manchester', 'united', 'bukan', 'emyu']",nunggu belasan puluhan lihat manchester united berjaya lihat manchester united emyu
"['ahli', 'sejarah']",ahli sejarah
"['emyu', 'mu', 'manchester', 'united', 'yang', 'lain', 'enggak', 'gue', 'anggap']",emyu mu manchester united gue anggap
"['dihina', 'tidak', 'tumbang', 'cabot', 'dari', 'emyu', 'makin', 'berkembang', 'my', 'goat']",dihina tumbang cabot emyu berkembang my goat
"['tekanan', 'bertubi', 'tubi', 'yang', 'buat', 'manchester', 'united', 'pecat', 'eric', 'tenhag', 'emyu']",tekanan bertubi tubi manchester united pecat eric tenhag emyu
"['transisi', 'mu', 'jelek', 'banget', 'sekarang', 'sudah', 'di', 'kotak', 'penalti', 'saja', 'masih', 'bingung']",transisi mu jelek banget di kotak penalti bingung
"['eh', 'kocak', 'coba', 'lu', 'belah', 'dada', 'gue', 'dan', 'lu', 'lihat', 'isinya', 'apaan', 'isinya', 'emyu', 'itu', 'artinya', 'gue', 'cinta', 'emyu', 'manchester', 'united', 'till', 'i', 'die', 'paham', 'lu']",eh kocak coba lu belah dada gue lu lihat isinya isinya emyu gue cinta emyu manchester united till i die paham lu
"['ubur', 'ubur', 'ikan', 'lele', 'move', 'on', 'boleh']",ubur ubur ikan lele move on
"['jihan', 'aku', 'fan', 'manchester', 'united', 'walaupun', 'sekarang', 'emyu', 'lagi', 'kalahan', 'tapi', 'jihan', 'tetap', 'ngefans', 'emyu', 'tetap', 'enggak', 'mau', 'ketinggalan', 'menonton', 'emyu', 'walau', 'jihan', 'enggak', 'molow', 'akun', 'ig', 'emyu', 'walau', 'jihan', 'enggak', 'pernah', 'pamer', 'foto', 'pakai', 'jersey', 'emyu', 'tapi', 'jihan', 'tetap', 'fan', 'emyu', 'cityboy_log']",jihan fan manchester united emyu kalahan jihan ngefans emyu ketinggalan menonton emyu jihan molow akun ig emyu jihan pamer foto pakai jersey emyu jihan fan emyu cityboy_log
"['enggak', 'out', 'kebangetan']",out kebangetan
"['polisi', 'jerman', 'secara', 'brutal', 'melecehkan', 'wanita', 'karena', 'mengenakan', 'jilbab', 'chaffiyeh', 'palestina', 'di', 'sebuah', 'mal', 'di', 'berlin', 'petugas', 'polisi', 'jerman', 'akan', 'menangkap', 'dan', 'menarik', 'siapa', 'pun', 'yang', 'mereka', 'lihat', 'yang', 'memiliki', 'simbol', 'palestina', 'malam', 'emyu', 'pepaya', 'pisang', 'manchester', 'united']",polisi jerman brutal melecehkan wanita mengenakan jilbab chaffiyeh palestina di mal di berlin petugas polisi jerman menangkap menarik lihat memiliki simbol palestina malam emyu pepaya pisang manchester united
"['tahun', 'di', 'manchester', 'united', 'dan', 'sekarang', 'akan', 'berpisah', 'once', 'red', 'always', 'red', 'manchesterunited', 'mctominay', 'kingemyu']",di manchester united berpisah once red always red manchesterunited mctominay kingemyu
"['saatnya', 'meramaikan', 'wa', 'nya', 'fandar']",meramaikan wa nya fandar
"['setelah', 'lebih', 'dari', 'tahun', 'akhirnya', 'brace', 'diallo', 'bikin', 'emyu', 'menang', 'lagi', 'di', 'uel', 'emyu', 'is', 'back', 'ini', 'superlive', 'supersoccer', 'inirasanyasuper', 'manchesterunited']",brace diallo bikin emyu menang di uel emyu is back superlive supersoccer inirasanyasuper manchesterunited
"['setiap', 'lihat', 'lineup', 'emyu', 'oke', 'ini', 'kayaknya', 'bakal', 'jadi', 'malam', 'panjang', 'lagi']",lihat lineup emyu oke kayaknya malam
"['apaan', 'coba', 'defense', 'begitu']",coba defense
"['kasih', 'keras', 'mincun']",kasih keras mincun
"['pohon', 'apan']",pohon apan
"['mending', 'turu', 'percuma', 'ndelok']",mending turu ndelok
"['buat', 'menonton', 'bareng', 'emyu', 'manchester', 'united', 'siapin', 'dulu', 'lah', 'mini', 'proyektor', 'led', 'yang', 'led', 'portable', 'projector', 'hp', 'mini', 'bioskop', 'rumah', 'terbuka', 'dengan', 'pc', 'laptop', 'usb', 'sd', 'av', 'hdmi', 'pocket', 'input', 'untuk', 'tv', 'video', 'game', 'film', 'party', 'harga', 'rp', 'dapatkan', 'di', 'shopee', 'sekarang']",menonton bareng emyu manchester united siapin mini proyektor led led portable projector hp mini bioskop rumah terbuka pc laptop usb sd av hdmi pocket input tv video game film party harga rp dapatkan di shopee
"['bah', 'sudah', 'lanjut', 'memang', 'perpanjang', 'vidio', 'tsunami', 'trophy', 'kah', 'emyu', 'manchesterunited']",bah perpanjang vidio tsunami trophy kah emyu manchesterunited
"['dan', 'emyu', 'kalo', 'menang']",emyu kalo menang
"['rawr', 'menyala', 'terima', 'kasih', 'sayang', 'i', 'love', 'lu', 'so', 'muchh', 'ggmu', 'manchester', 'manchesterunited', 'emyu', 'emyuklubhebat', 'onana', 'onanadigantijadim', 'aartenpaes']",rawr menyala terima kasih sayang i love lu so muchh ggmu manchester manchesterunited emyu emyuklubhebat onana onanadigantijadim aartenpaes
"['pens', 'emyu']",pens emyu
['ancuk'],ancuk
"['myu', 'masuk', 'di', 'detik', 'akhir']",myu masuk di detik
"['wkwkwk', 'diketawain', 'bini', 'gue', 'bang']",wkwkwk diketawain bini gue bang
"['jersey', 'emyu']",jersey emyu
"['pembantaian', 'september']",pembantaian september
"['duh', 'jadi', 'keinget', 'emyu', 'serius', 'saja', 'masih', 'segitu']",duh keinget emyu serius segitu
"['terima', 'kasih', 'emyu', 'selalu', 'membuat', 'semangat', 'hari', 'seninku']",terima kasih emyu semangat seninku
"['akankah', 'amorim', 'ngamuk', 'lagi', 'mecahin', 'mangkok', 'gelas', 'di', 'ruang', 'ganti', 'emyu']",amorim ngamuk mecahin mangkok gelas di ruang ganti emyu
"['pertahanan', 'emyu', 'diobok', 'obok']",pertahanan emyu diobok obok
"['semangat', 'pertahankan', 'ten', 'hag']",semangat pertahankan ten hag
"['facup', 'aet', 'manchester', 'united', 'liverpool', 'mctominay', 'antony', 'rashford', 'amad', 'diallo', 'amad', 'diallo', 'mac', 'allister', 'salah', 'elliott', 'gila', 'gila', 'gila', 'emyu', 'ke', 'semifinal']",facup aet manchester united liverpool mctominay antony rashford amad diallo amad diallo mac allister salah elliott gila gila gila emyu ke semifinal
"['guru', 'sejarah', 'enggak', 'maju']",guru sejarah maju
"['sampai', 'city', 'hilang', 'juga', 'gue', 'hilang', 'dari', 'sosmed', 'seminggu', 'sat']",city hilang gue hilang sosmed seminggu sat
['kampung'],kampung
"['nek', 'gur', 'meh', 'golek', 'kertu', 'mampir', 'pos', 'ronda', 'wae', 'ra', 'sah', 'balbalan', 'ritak']",nek gur meh golek kertu mampir pos ronda wae ra sah balbalan ritak
"['koyo', 'biasane', 'wae']",koyo biasane wae
"['leny', 'yoro', 'tentang', 'style', 'para', 'pemain', 'manchester', 'united', 'manchesterunited', 'yoro', 'kingemyu']",leny yoro style pemain manchester united manchesterunited yoro kingemyu
"['fulltime', 'brace', 'amp']",fulltime brace amp
"['main', 'enggak', 'ada', 'polanya', 'banyak', 'salah', 'umpan', 'dan', 'pelanggaran', 'finishing', 'juga', 'lemah', 'padahal', 'modal', 'pemainnya', 'lumayan', 'bagus', 'tahun', 'kemarin', 'hampir', 'sama', 'cuma', 'terselamatkan', 'piala', 'sih']",main polanya salah umpan pelanggaran finishing lemah modal pemainnya lumayan bagus kemarin terselamatkan piala sih
"['tim', 'busuk']",tim busuk
"['buka', 'distro', 'jo']",buka distro jo
"['tolol', 'gue', 'kangen', 'jaman', 'woy', 'ayo', 'dong', 'yang', 'benar']",tolol gue kangen jaman woy ayo
['wkwk'],wkwk
"['memang', 'premier', 'league', 'apa']",premier league
"['bahas', 'perubahan', 'struktur', 'internal', 'emyu', 'untuk', 'peningkatan', 'kinerja', 'tim']",bahas perubahan struktur internal emyu peningkatan kinerja tim
"['selesai', 'tuh', 'emyu']",selesai tuh emyu
"['kayaknya', 'mu', 'harus', 'rekrut', 'pemain', 'timnas', 'indonesia']",kayaknya mu rekrut pemain timnas indonesia
"['mending', 'afk', 'saja', 'lah', 'sampai', 'season', 'depan']",mending afk season
"['memang', 'pantas', 'kalah', 'mainnya', 'jelek', 'semuajancuukk']",kalah mainnya jelek semuajancuukk
"['bahas', 'perubahan', 'struktur', 'internal', 'emyu', 'untuk', 'peningkatan', 'kinerja', 'tim']",bahas perubahan struktur internal emyu peningkatan kinerja tim
"['setelah', 'lebih', 'dari', 'tahun', 'akhirnya', 'brace', 'diallo', 'bikin', 'emyu', 'menang', 'lagi', 'di', 'uel', 'emyu', 'is', 'back', 'ini', 'superlive', 'supersoccer', 'inirasanyasuper', 'manchesterunited']",brace diallo bikin emyu menang di uel emyu is back superlive supersoccer inirasanyasuper manchesterunited
"['enggak', 'kaya', 'yang', 'itu', 'tuh']",kaya tuh
"['emyu', 'memang', 'di', 'kutuk', 'karena', 'pakai', 'logo', 'setan']",emyu di kutuk pakai logo setan
['hahahahhaahhahaa'],hahahahhaahhahaa
"['kurang', 'kriteria', 'fan', 'emyu', 'saja', 'tuh']",kriteria fan emyu tuh
"['tolong', 'nak', 'mu', 'main', 'onana', 'ora', 'sah', 'dikandani']",tolong nak mu main onana ora sah dikandani
"['kenapa', 'enggak', 'dari', 'awal', 'salah', 'satu', 'jadikan', 'starting', 'sudah', 'kalah', 'panik', 'masukin', 'keduanya', 'amorim', 'mikir', 'apa', 'di', 'match', 'ini', 'hadeuh']",salah jadikan starting kalah panik masukin amorim mikir di match hadeuh
"['full', 'senyum', 'kah', 'fan', 'emyu', 'malam', 'ini', 'mufc', 'premierleague', 'manchesterunited']",full senyum kah fan emyu malam mufc premierleague manchesterunited
"['emyu', 'oh', 'emyu', 'manunitedtickets', 'manchesterunited', 'amorimout', 'proplay']",emyu oh emyu manunitedtickets manchesterunited amorimout proplay
"['ayo', 'kemana', 'ayo', 'kalah', 'memang', 'klub', 'koplok', 'passing', 'saja', 'enggak', 'bisa']",ayo kemana ayo kalah klub koplok passing
"['emyu', 'tolol']",emyu tolol
"['cireng', 'emyu']",cireng emyu
"['tapi', 'aku', 'fan', 'emyu']",fan emyu
"['berba', 'kali', 'wazza', 'manchesterunited', 'kingemyu']",berba kali wazza manchesterunited kingemyu
"['selesai', 'untuk', 'ten', 'hag']",selesai ten hag
"['tidur', 'saja', 'bro', 'sudah', 'di', 'confirm', 'amorim', 'via', 'mutv', 'bayindir', 'sama', 'heaton', 'enggak', 'fit']",tidur bro di confirm amorim via mutv bayindir heaton fit
"['nyink', 'kipernya', 'tidur', 'jadi', 'pilihn', 'tpat', 'kyanya']",nyink kipernya tidur pilihn tpat kyanya
"['nah', 'kalo', 'sudah', 'voting', 'deh', 'yuk', 'emyu', 'stay', 'atau', 'jadi', 'penghuni', 'klub', 'terbawah', 'nih', 'superlive', 'supersoccer', 'inirasanyasuper', 'manchesterunited']",kalo voting deh yuk emyu stay penghuni klub terbawah nih superlive supersoccer inirasanyasuper manchesterunited
"['semoga', 'mainnya', 'pada', 'benar', 'nanti', 'terutama', 'buat', 'onana']",semoga mainnya onana
"['sebagai', 'fan', 'manchester', 'tapi', 'bukan', 'united', 'saya', 'mengakui', 'fan', 'emyu', 'itu', 'lucu']",fan manchester united mengakui fan emyu lucu
"['kalo', 'enggak', 'dipecat', 'kebangeten', 'ini', 'pengin', 'jadikan', 'mu', 'jadi', 'ajax', 'cabang', 'inggris']",kalo dipecat kebangeten pengin jadikan mu ajax cabang inggris
"['mending', 'tahajud']",mending tahajud
"['terima', 'kasih', 'wak', 'harry', 'maguire']",terima kasih wak harry maguire
"['tenhag', 'stay', 'ila', 'yaumul', 'qiyamah']",tenhag stay ila yaumul qiyamah
"['ngejek', 'bocah', 'manja', 'kayaknya']",ngejek bocah manja kayaknya
"['ayo', 'semangat', 'semangat', 'dong']",ayo semangat semangat
['bodoh'],bodoh
"['pindah', 'como', 'saja']",pindah como
"['menonton', 'emyu']",menonton emyu
"['suamiku', 'meminta', 'kado', 'ultah', 'jersey', 'emyu', 'sudah', 'kubilang', 'harga', 'segitu', 'mending', 'beli', 'sepatu', 'tapi', 'dia', 'tetap', 'dengan', 'pendiriannya', 'jersey', 'manchester', 'united', 'glory', 'glory', 'man', 'utd']",suamiku kado ultah jersey emyu kubilang harga segitu mending beli sepatu pendiriannya jersey manchester united glory glory man utd
"['bruno', 'kapten', 'dia', 'lebih', 'sering', 'protes', 'ke', 'wasit', 'daripada', 'passing', 'ke', 'depan', '__']",bruno kapten protes ke wasit passing ke __
"['mencoba', 'laliga', 'antony', 'iku', 'cuk', 'match', 'motm', 'goal', 'ndek', 'emyu', 'ngampas', 'koyok', 'tahi']",mencoba laliga antony iku cuk match motm goal ndek emyu ngampas koyok tahi
"['yang', 'benar', 'apa', 'bang', 'kok', 'kontradiktif', 'sama', 'pernyataan', 'admin', 'nya']",bang kontradiktif pernyataan admin nya
"['ini', 'tim', 'seminggu', 'enggak', 'ada', 'latihan', 'apa', 'begini', 'begini', 'saja', 'main', 'nya']",tim seminggu latihan main nya
"['spurs', 'menang', 'tipis', 'lawan', 'klub', 'kecil']",spurs menang tipis lawan klub
"['berhentilah', 'merusak', 'masa', 'depan', 'pemain', 'potensial', 'cukup', 'king', 'anthony', 'gasing', 'saja', 'korban', 'terakhirmu', 'wahai']",berhentilah merusak pemain potensial king anthony gasing korban terakhirmu
"['nge', 'jinx', 'mulu', 'sih']",nge jinx mulu sih
"['emyu', 'saja', 'menang', 'lawan', 'juru', 'kunci', 'epl']",emyu menang lawan juru kunci epl
"['emyu', 'tanpa', 'erik', 'ten', 'hag', 'bisa', 'apa', 'bisa', 'menang', 'bos', 'manchesterunited']",emyu erik ten hag menang bos manchesterunited
"['awakmu', 'nek', 'enggak', 'iso', 'main', 'balbalan', 'maeno', 'domino', 'saja']",awakmu nek iso main balbalan maeno domino
"['emyu', 'sakti', 'dieropa']",emyu sakti dieropa
"['saya', 'fan', 'emyu', 'rela', 'chelsea', 'yang', 'juara', 'dari', 'pada', 'liverpool', 'premierleague', 'chelseafc', 'liverpool', 'manchesterunited']",fan emyu rela chelsea juara liverpool premierleague chelseafc liverpool manchesterunited
"['sudah', 'mirip', 'era', 'fergie', 'ini', 'raja', 'comeback', 'bikin', 'fansnya', 'siap', 'siap', 'ngumpet', 'dulu', 'terus', 'sombong', 'kemudian']",era fergie raja comeback bikin fansnya ngumpet sombong
"['masmas', 'kepencet', 'emoji', '_']",masmas kepencet emoji _
"['ayo', 'matamu', 'anjing']",ayo matamu anjing
"['manchester', 'united', 'emyu', 'mu']",manchester united emyu mu
"['langsung', 'kasih', 'saja', 'pialanya', 'ke', 'emyu', 'cik', 'manchester', 'united', 'ggmu', 'mufc', 'acmliv', 'antony', 'rashford', 'carabao', 'cup']",langsung kasih pialanya ke emyu cik manchester united ggmu mufc acmliv antony rashford carabao cup
"['yang', 'katanya', 'meriam', 'london', 'kenyataannya', 'cuma', 'sekelas', 'meriam', 'kotu', 'hadapan', 'king', 'emyu', 'manchesterunited']",meriam london kenyataannya sekelas meriam kotu hadapan king emyu manchesterunited
"['pemain', 'emyu']",pemain emyu
