before_stopword,after_stopword
"['resmi', 'trebel', 'hanya', 'di', 'pegang', 'emyu', 'dan', 'city', 'lessgo']",resmi trebel di pegang emyu city lessgo
"['hahaa', 'hasil', 'muntot', 'lah']",hahaa hasil muntot
"['dari', 'awal', 'emyu', 'cetak', 'goll', 'lini', 'tengah', 'enggak', 'bisa', 'kontrol', 'permainan', 'eriksen', 'kelihatan', 'enggak', 'bisa', 'menjalankan', 'tugas', 'nya', 'semoga', 'babak', 'kedua', 'ugarte', 'casemiro', 'terjadi', 'lagi', 'manchesterunited']",emyu cetak goll lini kontrol permainan eriksen menjalankan tugas nya semoga babak ugarte casemiro manchesterunited
"['ten', 'hag', 'di', 'pecat', 'gacor', 'begini', 'brook', 'emyu', 'emyu', 'manchesterunited', 'mufc', 'munche']",ten hag di pecat gacor brook emyu emyu manchesterunited mufc munche
"['bocil', 'ini', 'fan', 'emyu', 'sejak', 'lahir', 'nama', 'nya', 'pakai', 'nama', 'pemain', 'dan', 'pelatih', 'emyu', 'derinfobola', 'football', 'kualifikasipialadunia', 'manchesterunited']",bocil fan emyu lahir nama nya pakai nama pemain pelatih emyu derinfobola football kualifikasipialadunia manchesterunited
"['boxing', 'day', 'liga', 'inggris', 'diwarnai', 'kartu', 'merah', 'bruno', 'fernades', 'wolves', 'pecundangi', 'manchester', 'united', 'mufc', 'emyu', 'onana', 'wolves', 'manchesterunited', 'mu', 'wolverhamptonwanderers', 'ligainggris', 'hasilpertandinganligainggris']",boxing day liga inggris diwarnai kartu merah bruno fernades wolves pecundangi manchester united mufc emyu onana wolves manchesterunited mu wolverhamptonwanderers ligainggris hasilpertandinganligainggris
"['kita', 'sama', 'fan', 'emyu', 'laporin', 'onana', 'saja', 'bang']",fan emyu laporin onana bang
"['bisa', 'kayaknya', 'kak', 'blio', 'saja', 'bisa', 'bikin', 'setan', 'yang', 'di', 'logo', 'emyu']",kayaknya kak blio bikin setan di logo emyu
['sepele'],sepele
"['untung', 'ayam', 'sayur', 'babak', 'kedua', 'suka', 'main', 'dibelakang']",untung ayam sayur babak suka main dibelakang
"['selesai', 'itu', 'emyu']",selesai emyu
"['pertahanin', 'erik', 'ten', 'hug', 'dia', 'pelatih', 'mu', 'terbaik', 'sepanjang', 'masa', 'dia', 'bakal', 'bawa', 'mu', 'jadi', 'juara', 'amp']",pertahanin erik ten hug pelatih mu terbaik bawa mu juara amp
"['hari', 'ini', 'awakku', 'sedang', 'meriang', 'dan', 'butuh', 'hiburan', 'juga', 'kang', 'jadi', 'demi', 'mencari', 'hal', 'yang', 'menghibur', 'saya', 'buka', 'chanel', 'youtube', 'manchester', 'united', 'dan', 'melihat', 'highlights', 'mu', 'vs', 'liverpool', 'alhamdulillah', 'jadi', 'terhibur', 'terimakasih', 'emyu']",awakku meriang butuh hiburan kang mencari menghibur buka chanel youtube manchester united highlights mu vs liverpool alhamdulillah terhibur terimakasih emyu
"['jangan', 'ungkit', 'masalalu', 'boleh']",ungkit masalalu
"['masih', 'kak']",kak
"['tahun', 'di', 'manchester', 'united', 'dan', 'sekarang', 'akan', 'berpisah', 'once', 'red', 'always', 'red', 'manchesterunited', 'mctominay', 'kingemyu']",di manchester united berpisah once red always red manchesterunited mctominay kingemyu
"['pembantaian', 'gspurs']",pembantaian gspurs
"['rasmus', 'holjund', 'masih', 'berkerja', 'keras', 'agar', 'cepat', 'kembali', 'untuk', 'tim', 'dan', 'segera', 'mendapatkan', 'menit', 'bermain', 'manchesterunited', 'holjund', 'kingemyu']",rasmus holjund berkerja keras cepat tim menit bermain manchesterunited holjund kingemyu
"['sudah', 'bubarin', 'saja', 'ini', 'klub']",bubarin klub
"['sampai', 'kapan', 'ya', 'kata', 'biasakan', 'menonton', 'emyu', 'sampai', 'habis', 'ini', 'dipakai']",ya biasakan menonton emyu habis dipakai
"['ugarte', 'telah', 'tiba', 'di', 'carington', 'dan', 'akan', 'menandatangani', 'kontraknya', 'hari', 'ini', 'pengumuman', 'official', 'akan', 'menyusul', 'manchesterunited', 'ugarte', 'kingemyu']",ugarte di carington menandatangani kontraknya pengumuman official menyusul manchesterunited ugarte kingemyu
"['biasakan', 'menonton', 'mu', 'sampai', 'selesai']",biasakan menonton mu selesai
"['deh', 'ligt', 'dilaga', 'melawan', 'boznia', 'manchesterunited', 'deligt', 'kingemyu']",deh ligt dilaga melawan boznia manchesterunited deligt kingemyu
"['enggak', 'usah', 'komen', 'enggak', 'usah', 'komen', 'enggak', 'usah', 'komen']",komen komen komen
['emyu'],emyu
